,City,Cloudiness (%),Country,Date,Humidity (%),Latitude,Longitude,Max Temp (F),Win Speed (mph)
0,Kununurra,40,AU,1514095200,44,-15.77,128.74,95.0,8.05
1,Cidreira,92,BR,1514096253,100,-30.17,-50.22,70.08,9.35
2,Farafenni,8,GM,1514096423,34,13.57,-15.6,59.73,12.26
3,Mar del Plata,0,AR,1514096423,59,-46.43,-67.52,53.97,23.22
4,Presidencia Roque Saenz Pena,76,AR,1514096424,76,-26.79,-60.44,73.05,16.46
5,Waipawa,88,NZ,1514096424,66,-39.94,176.59,67.56,9.35
6,Lashio,0,MM,1514096424,68,22.93,97.75,69.76,2.04
7,Pontianak,75,ID,1514093400,94,-0.02,109.34,77.0,8.05
8,Khairpur,0,PK,1514095200,64,27.53,68.76,68.0,6.93
9,Severo-Kurilsk,64,RU,1514096322,100,50.68,156.12,25.75,14.56
10,Banda Aceh,88,ID,1514096426,94,5.56,95.32,77.5,4.27
11,Sao Filipe,0,CV,1514096279,98,14.9,-24.5,72.55,20.04
12,Qeshm,40,IR,1514093880,93,26.96,56.27,64.4,6.93
13,Ahuimanu,75,US,1514095020,69,21.44,-157.84,75.2,8.05
14,Atuona,48,PF,1514096428,100,-9.8,-139.03,80.2,10.76
15,Novobureyskiy,32,RU,1514096428,74,49.8,129.88,-3.01,6.06
16,Krasnorechenskiy,80,RU,1514096429,71,44.63,135.35,25.44,1.36
17,Escanaba,1,US,1514091360,84,45.75,-87.06,3.2,4.7
18,Buchanan,20,LR,1514093400,94,5.88,-10.05,68.0,4.05
19,Ada,90,US,1514093820,67,42.95,-85.49,24.8,4.7
20,Birsk,80,RU,1514096431,89,55.42,55.54,15.63,11.1
21,Ramgarh,0,IN,1514096431,32,27.26,75.18,72.91,4.54
22,Ambilobe,92,MG,1514096432,100,-13.19,49.05,70.17,3.87
23,Dudinka,88,RU,1514096432,73,69.41,86.18,3.57,21.61
24,Harrisonville,90,US,1514096100,68,38.65,-94.35,26.6,6.93
25,Kedgwick,92,CA,1514096433,92,47.65,-67.35,24.09,3.83
26,San Ramon,88,BO,1514096433,78,-13.27,-64.62,78.85,7.56
27,Kirksville,90,US,1514094900,73,40.19,-92.58,21.2,9.17
28,Verkhneuralsk,20,RU,1514093400,84,53.88,59.21,6.8,4.47
29,Gizo,88,SB,1514096435,100,-8.1,156.84,84.84,2.08
30,Sangar,36,RU,1514096435,0,63.92,127.47,-47.65,1.25
31,Kendari,64,ID,1514096436,100,-3.99,122.52,80.61,3.27
32,Pacific Grove,1,US,1514094900,81,36.62,-121.92,50.0,3.36
33,Pedernales,0,DO,1514095896,100,18.04,-71.74,75.12,8.41
34,Houston,1,CA,1514095200,83,54.4,-126.65,-7.61,2.24
35,Prestea,0,GH,1514096437,92,5.43,-2.14,66.43,2.26
36,Camopi,76,GF,1514096437,98,3.17,-52.33,73.36,2.19
37,Mpika,56,ZM,1514096438,97,-11.84,31.4,69.76,5.1
38,Valleyview,48,CA,1514096438,80,55.07,-117.28,12.61,10.92
39,Puri,0,IN,1514093400,69,19.8,85.85,75.2,4.7
40,Timbuktu,0,ML,1514096439,46,16.77,-3.01,49.06,11.65
41,Rocha,0,UY,1514096439,63,-34.48,-54.34,57.39,11.65
42,Anshun,0,CN,1514096440,50,26.25,105.93,54.87,5.84
43,Tanhacu,64,BR,1514096440,97,-14.02,-41.25,67.02,3.76
44,Marataizes,8,BR,1514096366,93,-21.04,-40.82,76.47,16.84
45,Murgab,0,TM,1514091600,47,37.5,61.97,57.2,13.87
46,Cururupu,88,BR,1514096442,82,-1.82,-44.87,79.71,7.11
47,Nowy Targ,75,PL,1514095200,70,49.48,20.03,44.6,19.46
48,Buraydah,0,SA,1514091600,50,26.33,43.97,51.8,6.93
49,Acapulco,40,MX,1514094240,94,16.86,-99.88,78.8,2.3
50,Marawi,0,SD,1514096444,61,18.48,31.82,64.86,10.36
